"report_id","start_location_id","end_location_id","medi_location_id"
"158895","260780","443146","108312"
"187509","330572","321322","359944"
"190744","17170","17172","510195"
"195041","80098","82565","81064"
"195552","159490","18096","504944"
"197274","28077","28083","64831"
"209827","328728","328853","374290"
"209854","286369","61077","154263"
"187324","131053","390025","654944"
"187960","16997","88303","22885"
"193348","17923","31682","64835"
"193376","17923","80969","489271"
"209801","328853","328722","374290"
"209880","61057","286369","154263"
"210067","101264","19563","219719"
"210093","23442","147248","219719"
"158924","108313","260780","108312"
"180601","25190","92272","307357"
"180872","16882","16882","20113"
"190047","111819","29108","465238"
"190393","36156","113600","90798"
"192600","19563","23356","23355"
"192681","38612","19410","19417"
"193026","17170","101264","384966"
"195178","81464","159490","513793"
"179336","85992","25192","482375"
"187377","321322","390025","330098"
"190447","23476","36156","38591"
"206184","79048","330013","330024"
"206396","80098","81464","512372"
"206422","81464","80098","512372"
"209748","329991","79048","328898"
"210120","101264","98995","637051"
"187562","79120","17176","127513"
"190153","330013","330040","330023"
"190637","20958","20958","20958"
"190663","20961","20961","20961"
"195339","91360","25192","495476"
"195578","34760","139810","504944"
"195737","17923","90550","169325"
"206131","79048","330022","334622"
"180627","130782","25191","307357"
"185343","34751","18093","22887"
"198059","337930","31724","332377"
"204113","330022","385557","330006"
"204140","336735","337850","424681"
"204166","337850","336735","424681"
"204193","336735","33994","642617"
"206025","343418","79048","342677"
"187297","130790","131053","612884"
"187668","19495","19397","96362"
"194878","165141","80969","96719"
"197463","21134","28614","21134"
"206475","40816","30545","22601"
"180655","92272","131053","595508"
"187032","30245","25191","139803"
"178929","29108","30548","18105"
"183037","30245","32685","28651"
"184729","16152","328728","328744"
"184892","19416","17173","142080"
"187695","19395","446761","136066"
"187774","19495","16882","29327"
"187986","88303","16999","22885"
"178713","60426","142075","126513"
"159043","23356","108492","108310"
"181197","98995","27618","36154"
"185051","298752","19414","61091"
"185369","18093","34750","22887"
"187059","25190","32685","131048"
"192438","28095","364294","413542"
"192466","28095","16373","131005"
"203875","328876","328835","328852"
"181331","19495","446761","446754"
"184972","19412","111821","504843"
"185104","98995","34756","126610"
"190475","23479","113599","20960"
"190555","20956","254507","20956"
"190609","20961","20956","20955"
"190908","286369","153915","15397"
"190934","153915","286369","15397"
"192919","20958","153915","143753"
"190100","111819","30548","31110"
"190179","16152","328733","330023"
"190285","16152","390026","328745"
"190312","390025","328728","17400"
"204007","328835","329084","329122"
"180926","16882","16997","513976"
"190073","29108","38858","31108"
"179364","85993","34751","23432"
"182657","249575","111819","19494"
"197705","332118","168566","30338"
"198301","329991","328835","328854"
"201211","329084","170661","449926"
"203557","113396","31724","30263"
"203583","31724","28445","30263"
"203742","330578","328876","330581"
"185263","32703","85993","85996"
"187589","249545","446761","504822"
"187615","36905","19397","504822"
"197734","334106","113396","15374"
"198085","31724","337931","334706"
"198193","329096","31724","329187"
"201775","168558","334106","334097"
"206051","79047","30573","342677"
"178983","30548","30545","60159"
"184919","20985","19410","142077"
"185184","214167","32703","16891"
"185316","80190","34750","34751"
"185396","18096","80190","32714"
"187085","32685","25191","131048"
"201507","337850","111620","210261"
"206502","343418","329991","330021"
"158954","108492","108313","38500"
"178739","17176","20985","458436"
"198221","329096","328835","328812"
"201643","28614","109970","169835"
"201696","28614","19393","658539"
"201722","21475","28614","658539"
"201749","334106","168566","334097"
"203716","328876","330572","330581"
"206157","131","79047","334622"
"180952","16999","20113","22417"
"184758","130790","29635","130794"
"187642","249545","249575","96363"
"187721","36905","16882","136066"
"190717","17171","20961","154708"
"195392","91360","85993","85994"
"195472","34751","136425","481977"
"197408","23139","39110","338065"
"179009","30545","30548","60159"
"185290","34751","80190","86003"
"193079","17173","101264","80735"
"195499","136425","34760","503083"
"197328","28077","23139","23136"
"197518","18138","109970","35414"
"197544","109970","18138","35414"
"209907","23509","61057","543920"
"180898","20113","19395","20113"
"182683","38858","19495","19494"
"182792","349140","18093","29659"
"190126","30548","38858","31110"
"190206","330013","328728","17401"
"190367","113600","36155","90798"
"195070","28077","85480","514815"
"195124","85480","81464","401297"
"181277","446761","298752","446768"
"194905","165141","80190","85198"
"195096","85480","28077","514815"
"195286","39110","17764","341378"
"195418","85992","91360","85994"
"195870","28083","85480","475390"
"195923","28083","28077","64831"
"197381","18176","31617","31613"
"179390","34750","85992","37510"
"182820","349140","88303","118281"
"192946","153915","17170","517436"
"193000","147248","17171","384966"
"193106","38612","17173","101191"
"193132","17172","38612","101191"
"193213","91360","32703","18188"
"193322","31682","17923","64835"
"194931","80190","165141","162751"
"187112","130782","29673","341305"
"187138","30245","92272","341305"
"187218","92272","130790","29622"
"187271","131055","130790","612884"
"187536","142075","79120","127513"
"189941","17004","29635","104045"
"189967","29635","17003","104045"
"192707","19416","38612","19417"
"180573","25191","18096","506549"
"182712","80190","18093","80203"
"182738","18093","80190","80203"
"182846","88303","349140","119290"
"183063","32685","29673","28651"
"183091","32685","129146","147083"
"183117","129146","32685","147083"
"184595","174789","330578","330551"
"185131","34757","27618","126592"
"179310","214167","85993","86001"
"179418","34751","34760","80200"
"179444","18096","34750","80200"
"180547","34760","25190","506549"
"181006","34922","16999","334441"
"181251","27618","36905","446767"
"182766","18093","349140","29659"
"185025","19412","27618","61091"
"185078","34757","111821","126610"
"158983","443146","38501","130654"
"159014","38501","111900","108310"
"178767","142075","31098","17180"
"178793","38689","17176","17180"
"178821","31098","18132","20929"
"178847","18132","38689","20929"
"179148","19410","19412","19411"
"206104","79047","16152","330035"
"158324","27828","100805","100817"
"158776","157411","130650","132259"
"158805","19782","157411","132259"
"158836","130650","38501","108314"
"158865","108492","19782","108314"
"172156","29544","100805","146927"
"178955","30548","29108","18105"
"185157","298752","34756","498961"
"209721","329991","30573","330021"
"185210","32703","25192","16891"
"188092","88303","145617","141484"
"192972","17171","153915","517436"
"193239","32703","91360","18188"
"195150","81464","85480","401297"
"195233","18176","39110","17767"
"195312","17764","17766","341378"
"206078","330040","79048","330035"
"192574","111900","23442","23355"
"195525","18096","136425","503083"
"197434","17766","31617","615945"
"197572","109970","19393","21133"
"197652","168566","21475","20992"
"197679","168558","174789","31569"
"197814","337861","28445","508629"
"187907","16997","349140","148250"
"181060","17002","34922","343196"
"188119","145617","129146","96336"
"193053","147248","17172","80735"
"204060","40816","385557","392300"
"204087","385557","131","330006"
"204219","33994","336735","642617"
"204247","25192","126625","67548"
"204273","126625","214167","67548"
"180980","16997","145617","119290"
"187244","130790","130782","29622"
"190583","20959","20958","15970"
"193268","31680","31682","448424"
"195843","80969","82565","487135"
"197788","113396","337861","508629"
"197896","150981","336735","29472"
"197922","336735","150981","29472"
"197977","20896","111440","112336"
"187165","130782","32685","342013"
"187430","321321","332118","338672"
"187748","19395","249575","29327"
"190338","328722","390026","17400"
"190691","20958","17170","154708"
"204034","385557","40815","392300"
"204300","34756","126625","638641"
"205997","126625","34757","638639"
"182875","17764","30257","113610"
"190421","36155","23479","38591"
"190825","23509","96267","122761"
"192866","20959","368633","368632"
"195204","139810","81464","513793"
"195658","190919","31682","172680"
"195711","190919","17923","169325"
"201908","28445","174789","333835"
"203848","329096","328876","610324"
"187191","32685","92272","342013"
"192546","368633","16373","16372"
"192787","102256","113599","102257"
"192893","153915","20961","143753"
"194986","28083","190919","483541"
"195015","82565","80098","81064"
"195259","17766","18176","17767"
"197760","28445","334106","15374"
"198139","328853","31724","329112"
"192734","102256","23476","23479"
"192813","254507","102256","74517"
"197302","31617","28077","23136"
"197842","337861","150981","150947"
"197868","150981","337861","150947"
"203769","328876","328722","328712"
"203795","328728","328876","328712"
"187456","174789","321322","338672"
"198167","31724","329096","329187"
"198330","328876","329084","328822"
"201183","329084","328876","328822"
"210146","111821","147248","637051"
"210199","20961","368633","510418"
"190879","102256","23509","129785"
"197355","23139","18176","31613"
"192760","23479","102256","23479"
"197598","21475","109970","21133"
"201265","30545","385557","376897"
"201561","33994","337850","334937"
"201669","109970","28614","169835"
"203636","337861","337931","22640"
"203663","337861","31724","112435"
"203689","31724","337861","112435"
"195764","82565","17923","81650"
"201481","111620","337850","210261"
"201535","337850","33994","334937"
"201881","28445","168566","518066"
"201934","332118","113396","333835"
"201961","113396","337931","505342"
"203530","337930","28445","505342"
"203610","337930","337861","22640"
"179202","19412","34756","29536"
"194960","90550","28083","483541"
"201345","21313","385557","79940"
"201373","21313","162316","132507"
"201399","162316","21313","132507"
"201427","162316","111620","334820"
"201453","111620","162316","334820"
"201589","33994","107075","602487"
"209774","79047","329991","329998"
"192520","16373","368633","16372"
"193159","38612","60426","126880"
"198005","20896","337930","337928"
"198247","328835","329096","328812"
"198275","328835","329991","328858"
"201237","170661","329084","449926"
"201615","107075","33994","602487"
"201802","334106","174789","174765"
"198031","337931","20896","337928"
"198113","31724","328853","329112"
"201828","332118","334106","174765"
"201855","168558","113396","518066"
"206449","30545","40815","22601"
"195605","159490","25190","139806"
"195631","25191","139810","139806"
"195446","136425","34750","481977"
"195684","31682","90550","172680"
"195790","17923","82565","81650"
"195817","82565","80969","487135"
"195896","85480","28083","475390"
"197489","28614","21134","21134"
"197626","19393","168558","20991"
"197951","30046","20896","112336"
"190963","108322","28095","413542"
"192492","16373","28095","131005"
"192840","368633","20956","368632"
"193185","20985","38612","126880"
"193294","31682","31680","448424"
"193402","80969","17923","489271"
"193430","80969","165141","96719"
"195365","214167","91360","495476"
"190020","330040","30573","16994"
"190259","390025","330040","328745"
"190501","254507","23476","20960"
"190529","113599","20959","20959"
"190770","17173","17171","510195"
"190799","96267","23509","122761"
"190853","23509","102256","129785"
"192627","23442","98995","22428"
"192653","111821","19563","23442"
"188013","34922","349140","96312"
"188039","349140","145617","96326"
"188066","34922","88303","141484"
"188145","129146","34922","96336"
"188172","17002","129146","225040"
"188198","129146","17001","225040"
"188225","17001","29635","29638"
"189994","343418","16152","16994"
"187006","25190","29673","139803"
"187801","16882","151329","151347"
"187827","151329","20113","508856"
"187854","16999","151329","106407"
"187880","151329","16997","106407"
"187933","349140","16999","148250"
"188251","29635","17002","29638"
"190232","328722","328733","17401"
"184703","328722","330040","328742"
"184945","19416","60426","142077"
"185422","80190","34760","32714"
"186953","18096","18093","32708"
"186979","18093","34760","32708"
"187350","390026","131055","654944"
"187403","390026","321321","330098"
"187483","321321","330578","359944"
"181168","30573","17004","17006"
"181223","298752","111821","19413"
"184784","29635","130790","130794"
"184813","32703","151329","106522"
"184839","151329","32703","106522"
"184866","17172","19410","142080"
"184998","98995","19414","142029"
"185237","85992","32703","85996"
"181034","145617","17001","16998"
"181088","17001","17003","402560"
"181114","17004","17002","104049"
"181305","36905","249575","446752"
"183009","29673","152593","29674"
"184621","330572","332118","330552"
"184649","330578","328722","330590"
"184675","328728","330572","330590"
"179038","330022","40816","330022"
"179064","40815","131","131"
"180709","131053","321321","390033"
"180735","321322","131055","319375"
"180764","79120","249545","38851"
"180790","19397","79120","38851"
"180818","249545","16882","446751"
"180844","19395","19397","446750"
"158744","108313","29544","61080"
"179093","330013","390026","328736"
"179119","390025","328733","328736"
"179174","19414","19416","19415"
"179228","34757","19414","36154"
"179256","34756","214167","34757"
"179282","25192","34757","25153"
"181142","17003","343418","17006"
"172329","13869","260780","146928"
"171572","100805","100807","100807"
"171969","29544","100807","488716"
"172602","108313","29544","61080"
"173011","260780","100807","488716"
"173118","260780","443146","108312"
"173225","61080","443146","108312"
"178548","17172","60426","29562"
"178600","20985","17173","29561"
"158355","100805","100807","100807"
"158386","27828","260780","146924"
"158415","260780","27828","146924"
"158446","13875","13878","100805"
"158475","13869","100807","100805"
"158505","260780","100805","150416"
"178875","18132","29108","233546"
"178901","29108","18132","233546"
"158565","29544","13878","146928"
"158595","13875","61080","443840"
"158624","29544","100807","488716"
"158655","61080","61077","147999"
"158684","61057","29544","147999"
"158715","61080","443146","108312"
"180681","131055","130782","595508"
"158536","13869","61080","146928"
"201319","385557","21313","79940"
"182901","30257","17764","113610"
"182929","30257","152593","17761"
"182955","152593","30257","17761"
"182983","152593","30245","30246"
"201291","385557","30545","376897"
"206210","328733","79047","330024"
"206237","162316","170661","170650"
"206263","170661","162316","170650"
"203901","328835","328876","328852"
"203928","329096","329084","337069"
"203954","329084","329096","337069"
"203981","329084","328835","329122"
"203822","328876","329096","610324"
"206369","80098","85480","213711"
"206290","170661","111620","111625"
"206316","111620","170661","111625"
"206343","85480","80098","213711"
"210040","23356","147248","509438"
"210173","368633","20958","510418"
"209933","61077","23509","543920"
"209960","96267","61057","507542"
"209986","61077","96267","507542"
"210013","101264","108492","216176"
